código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020079";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBX";"BANCO CITIBANK C/C: 37286919";"104";"20250228PHYYBI0QZJ3T";1;2;1
"1101020080";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBY";"BANCO SANTANDER C.C 29-000035-0 VINCULADA";"105";"20250228PHYYBI0QZJ3T";1;2;1
"1101020081";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBZ";"BRADESCO - GARANTIDA 00679-3";"106";"20250228PHYYBI0QZJ3T";1;2;1
"1101020082";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC0";"ITAU 00185 13470-7";"107";"20250228PHYYBI0QZJ3T";1;2;1
"1101020083";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC1";"ITAU 06643 01630-3";"108";"20250228PHYYBI0QZJ3T";1;2;1
"1101020084";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC2";"BANCO BRADESCO AG.3381 C.C 000708-0";"109";"20250228PHYYBI0QZJ3T";1;2;1
"1101020085";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC3";"BANCO SAFRA AG. 00600 C/C- 043065-6";"110";"20250228PHYYBI0QZJ3T";1;2;1
"1101020086";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC4";"RENDIMENTO 001-9 20125.000-1";"111";"20250228PHYYBI0QZJ3T";1;2;1
"1101020087";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC5";"BANCO SANTANDER AG. 3934 C/C 13035412-4";"112";"20250228PHYYBI0QZJ3T";1;2;1
"1101020088";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC6";"BRADESCO 3381 45.640-3";"113";"20250228PHYYBI0QZJ3T";1;2;1
"1101020089";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZC7";"SANTANDER 4602 130004509";"114";"20250228PHYYBI0QZJ3T";1;2;1
"1101020090";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;233179,530000;233179,530000;0,000000;"M";"20171004OK5TX00OQZC8";"BANCO SANTANDER AG. 3934 C/C 29-000047-7";"115";"20250228PHYYBI0QZJ3T";1;2;1
